Date,AvgPrice
2021-01-21,3854.25751
2021-01-20,3836.01001
2021-01-19,3791.42249
2021-01-15,3773.83252
2021-01-14,3806.74506
2021-01-13,3806.13251
2021-01-12,3797.52502
2021-01-11,3802.40753
2021-01-08,3812.505
2021-01-07,3786.19
2021-01-06,3737.17999
2021-01-05,3714.44507
2021-01-04,3724.48999
2020-12-31,3744.10498
2020-12-30,3735.76746
2020-12-29,3739.12006
2020-12-28,3730.48254
2020-12-24,3697.55756
2020-12-23,3695.98749
2020-12-22,3689.94
2020-12-21,3679.64496
2020-12-18,3711.08496
2020-12-17,3718.03003
2020-12-16,3699.315
2020-12-15,3678.98505
2020-12-14,3666.55255
2020-12-11,3654.71246
2020-12-10,3662.72498
2020-12-09,3687.9325
2020-12-08,3693.14502
2020-12-07,3690.74493
2020-12-04,3685.04999
2020-12-03,3668.72498
2020-12-02,3659.64752
2020-12-01,3658.16003
2020-11-30,3621.09491
2020-11-27,3637.63507
2020-11-25,3629.60248
2020-11-24,3616.69
2020-11-23,3571.74756
2020-11-20,3568.73254
2020-11-19,3567.58502
2020-11-18,3591.57507
2020-11-17,3607.90753
2020-11-16,3613.93494
2020-11-13,3570.98749
2020-11-12,3546.82001
2020-11-11,3568.50995
2020-11-10,3539.47998
2020-11-09,3581.7525
2020-11-06,3505.92505
2020-11-05,3502.745
2020-11-04,3435.32996
2020-11-03,3357.78748
2020-11-02,3304.07996
2020-10-30,3275.60498
2020-10-29,3297.03754
2020-10-28,3306.21997
2020-10-27,3398.01245
2020-10-26,3412.16748
2020-10-23,3459.29993
2020-10-22,3441.96503
2020-10-21,3443.34753
2020-10-20,3448.76996
2020-10-19,3460.73242
2020-10-16,3493.38
2020-10-15,3466.75751
2020-10-14,3503.15747
2020-10-13,3520.20251
2020-10-12,3520.92505
2020-10-09,3469.30499
2020-10-08,3439.13501
2020-10-07,3403.70502
2020-10-06,3388.95251
2020-10-05,3388.17755
2020-10-02,3345.03748
2020-10-01,3381.31
2020-09-30,3359.56
2020-09-29,3342.96246
2020-09-28,3344.78748
2020-09-25,3267.60992
2020-09-24,3240.21997
2020-09-23,3278.23755
2020-09-22,3300.64502
2020-09-21,3270.32507
2020-09-18,3332.87994
2020-09-17,3351.96503
2020-09-16,3402.52246
2020-09-15,3404.41498
2020-09-14,3378.39752
2020-09-11,3343.27246
2020-09-10,3376.63751
2020-09-09,3390.09753
2020-09-08,3353.23999
2020-09-04,3427.33496
2020-09-03,3503.01501
2020-09-02,3561.98505
2020-09-01,3514.17999
2020-08-31,3504.51501
2020-08-28,3499.0625
2020-08-27,3484.85498
2020-08-26,3463.47998
2020-08-25,3437.40503
2020-08-24,3423.64752
2020-08-21,3390.60999
2020-08-20,3372.87
2020-08-19,3384.14001
2020-08-18,3385.50751
2020-08-17,3382.41504
2020-08-14,3370.41498
2020-08-13,3374.24249
2020-08-12,3369.78998
2020-08-11,3352.87
2020-08-10,3353.81
2020-08-07,3343.14752
2020-08-06,3335.37494
2020-08-05,3323.32007
2020-08-04,3297.41003
2020-08-03,3292.53253
2020-07-31,3258.5
2020-07-30,3233.25745
2020-07-29,3244.40497
2020-07-28,3228.14996
2020-07-27,3228.73248
2020-07-24,3215.38
2020-07-23,3252.48743
2020-07-22,3265.82507
2020-07-21,3262.72003
2020-07-20,3237.47504
2020-07-17,3222.02747
2020-07-16,3210.72754
2020-07-15,3222.89502
2020-07-14,3166.81
2020-07-13,3186.26251
2020-07-10,3165.13751
2020-07-09,3155.92499
2020-07-08,3157.83502
2020-07-07,3159.70996
2020-07-06,3168.22253
2020-07-02,3140.995
2020-07-01,3112.84747
2020-06-30,3077.45752
2020-06-29,3031.36499
2020-06-26,3040.15247
2020-06-25,3060.15503
2020-06-24,3077.96747
2020-06-23,3138.0025
2020-06-22,3103.14746
2020-06-19,3119.16754
2020-06-18,3107.6225
2020-06-17,3124.70245
2020-06-16,3121.3125
2020-06-15,3026.4425
2020-06-12,3046.31
2020-06-11,3062.16254
2020-06-10,3202.07996
2020-06-09,3209.08002
2020-06-08,3215.35992
2020-06-05,3183.33252
2020-06-04,3110.8075
2020-06-03,3112.90247
2020-06-02,3069.57751
2020-06-01,3047.0575
2020-05-29,3029.315
2020-05-28,3042.10248
2020-05-27,3014.44495
2020-05-26,3001.435
2020-05-22,2948.46252
2020-05-21,2958.88251
2020-05-20,2964.78998
2020-05-19,2939.52252
2020-05-18,2937.43005
2020-05-15,2843.85999
2020-05-14,2816.62
2020-05-13,2838.28748
2020-05-12,2906.25757
2020-05-11,2923.33496
2020-05-08,2918.41748
2020-05-07,2884.46246
2020-05-06,2867.57996
2020-05-05,2874.77496
2020-05-04,2824.96002
2020-05-01,2847.62506
2020-04-30,2916.67993
2020-04-29,2931.2475
2020-04-28,2888.80243
2020-04-27,2868.43494
2020-04-24,2820.96246
2020-04-23,2811.84497
2020-04-22,2794.5625
2020-04-21,2758.50256
2020-04-20,2839.54749
2020-04-17,2856.77246
2020-04-16,2792.43005
2020-04-15,2785.60498
2020-04-14,2827.02759
2020-04-13,2761.92993
2020-04-09,2786.93506
2020-04-08,2714.75751
2020-04-07,2703.15491
2020-04-06,2623.34503
2020-04-03,2500.42743
2020-04-02,2493.61249
2020-04-01,2484.70502
2020-03-31,2602.95496
2020-03-30,2590.67749
2020-03-27,2558.3175
2020-03-26,2567.27252
2020-03-25,2478.07001
2020-03-24,2396.47998
2020-03-23,2255.17499
2020-03-20,2371.35748
2020-03-19,2397.40497
2020-03-18,2392.17255
2020-03-17,2468.95496
2020-03-16,2459.65997
2020-03-13,2621.17755
2020-03-12,2562.82751
2020-03-11,2774.95001
2020-03-10,2828.07501
2020-03-09,2802.19244
2020-03-06,2953.51001
2020-03-05,3045.6275
2020-03-04,3085.30499
2020-03-03,3053.29498
2020-03-02,3025.16498
2020-02-28,2921.66998
2020-02-27,3028.94
2020-02-26,3136.94745
2020-02-25,3183.22748
2020-02-24,3239.48999
2020-02-21,3346.86499
2020-02-20,3370.96246
2020-02-19,3384.72247
2020-02-18,3367.48755
2020-02-14,3376.26996
2020-02-13,3371.36249
2020-02-12,3375.28497
2020-02-11,3362.99249
2020-02-10,3335.10004
2020-02-07,3331.69751
2020-02-06,3343.26245
2020-02-05,3327.73248
2020-02-04,3291.43256
2020-02-03,3247.16992
2020-01-31,3251.21503
2020-01-30,3267.20496
2020-01-29,3282.05493
2020-01-28,3267.64752
2020-01-27,3246.03497
2020-01-24,3310.82001
2020-01-23,3317.51501
2020-01-22,3327.39502
2020-01-21,3322.05505
2020-01-17,3325.505
2020-01-16,3309.92755
2020-01-15,3287.72748
2020-01-14,3284.98499
2020-01-13,3278.9549
2020-01-10,3272.75256
2020-01-09,3269.995
2020-01-08,3248.84503
2020-01-07,3239.09497
2020-01-06,3231.32751
2020-01-03,3232.42505
2020-01-02,3249.04749
2019-12-31,3222.42749
2019-12-30,3229.71753
2019-12-27,3242.38751
2019-12-26,3233.59747
2019-12-24,3223.94244
2019-12-23,3225.03503
2019-12-20,3221.5575
2019-12-19,3198.87256
